Datetime,Open,High,Low,Close,Volume,1,2,3,4,5,6
1632583800000,42642.57,42666.00,42551.00,42655.55,1775.710,1632584099999,75656844.05779,13881,840.090,35798510.13919,0
1632584100000,42655.55,42669.99,42596.65,42605.33,643.065,1632584399999,27418660.64564,7255,255.622,10899927.27757,0
1632584400000,42605.33,42728.00,42602.82,42710.99,1049.866,1632584699999,44801608.96731,10210,713.357,30443559.71505,0
1632584700000,42710.99,42749.69,42637.04,42671.02,895.013,1632584999999,38202814.96342,9290,418.909,17881199.60456,0
1632585000000,42672.42,42691.00,42605.48,42611.21,767.053,1632585299999,32704759.93500,6952,295.725,12609628.23403,0
1632585300000,42611.21,42695.00,42601.44,42644.01,430.484,1632585599999,18358150.89892,5133,251.155,10711295.12637,0
1632585600000,42644.01,42722.07,42472.00,42506.72,1734.909,1632585899999,73887024.93705,14517,631.688,26910935.10642,0
1632585900000,42506.73,42570.00,42359.14,42393.82,1978.875,1632586199999,84014691.17071,17143,927.782,39394225.72974,0
1632586200000,42395.11,42454.07,42340.00,42390.01,1781.240,1632586499999,75513507.67697,16987,950.119,40281524.86107,0
1632586500000,42390.01,42485.76,42357.00,42377.90,908.854,1632586799999,38565292.48489,10357,519.630,22051547.83241,0
1632586800000,42377.91,42441.62,42360.77,42408.82,566.366,1632587099999,24014510.11021,7094,324.915,13777648.27080,0
1632587100000,42408.82,42553.01,42398.49,42543.73,884.098,1632587399999,37560524.49584,8704,610.401,25934986.52427,0
1632587400000,42543.73,42658.44,42488.00,42649.69,1017.844,1632587699999,43330533.40947,10568,548.242,23344114.92621,0
1632587700000,42649.69,42719.00,42562.56,42609.57,1650.552,1632587999999,70395820.79042,13853,735.468,31368792.19831,0
1632588000000,42611.70,42620.00,42441.17,42463.02,1219.808,1632588299999,51868141.42097,9587,412.260,17526670.69709,0
1632588300000,42463.02,42663.73,42437.00,42631.00,869.793,1632588599999,37009267.46193,9722,534.956,22763243.26674,0
1632588600000,42631.01,42665.90,42584.52,42635.36,665.621,1632588899999,28368761.94060,7476,291.097,12407251.08136,0
1632588900000,42635.35,42654.15,42563.53,42610.78,470.714,1632589199999,20056576.18251,5420,174.482,7433967.39525,0
1632589200000,42610.79,42656.71,42523.95,42579.18,582.648,1632589499999,24808898.93913,6925,268.087,11417206.78564,0
1632589500000,42579.18,42646.68,42542.88,42637.63,527.891,1632589799999,22490758.22969,5895,326.225,13899932.71745,0
1632589800000,42637.64,42637.88,42502.63,42535.17,495.135,1632590099999,21069125.76624,5928,209.886,8929877.15473,0
1632590100000,42534.39,42650.00,42502.49,42648.98,641.556,1632590399999,27327694.06491,6358,371.440,15826982.81265,0
